City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
140,Paine,CL,72.84,broken clouds,-33.8167,-70.75,Hotel El Almendro
141,Bonthe,SL,80.37,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
142,Puerto Ayacucho,VE,80.64,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
143,Wajid,SO,76.87,broken clouds,3.8093,43.2471,xamdihotelresturant114
145,Wagar,SD,86.81,few clouds,16.1525,36.2032,
147,Puerto Suarez,BO,86.41,broken clouds,-18.95,-57.8,Hotel casa real
148,Caravelas,BR,74.5,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
150,Lucea,JM,78.66,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
151,Samba,IN,72.25,clear sky,32.5667,75.1167,Sumit Sharma
153,Bubaque,GW,76.86,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
157,Pedasi,PA,81.5,overcast clouds,7.5333,-80.0333,Selina Pedasi
160,Conde,BR,78.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
161,Sao Filipe,CV,73.29,clear sky,14.8961,-24.4956,Hotel Xaguate
165,Riohacha,CO,77.92,broken clouds,11.5444,-72.9072,Hotel Taroa
173,Beloha,MG,73.81,overcast clouds,-25.1667,45.05,
174,Ikom,NG,77.07,overcast clouds,5.9667,8.7063,Reho Farm & Resort
175,Trairi,BR,77.38,broken clouds,-3.2778,-39.2689,janelas do mar
176,Victoria,HK,78.85,clear sky,22.2855,114.1577,Mini Hotel Central
178,Kudahuvadhoo,MV,82.78,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
179,Veraval,IN,81.9,clear sky,20.9,70.3667,Lords Inn Somnath
184,Sambava,MG,75.47,light rain,-14.2667,50.1667,Melrose
187,Labrea,BR,79.21,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
188,Navirai,BR,74.57,few clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
189,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
195,Sehithwa,BW,70.03,overcast clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
200,Ugoofaaru,MV,83.07,overcast clouds,5.6667,73.0,Ungoofaaru Inn
205,Balsas,BR,77.47,overcast clouds,-7.5325,-46.0356,Novo Hotel
207,Inhambane,MZ,71.87,overcast clouds,-23.865,35.3833,Oceano
208,Shahjahanpur,IN,82.42,few clouds,27.8833,79.9167,OYO 37782 Hotel Shree Mahakali Palace
209,Mogadishu,SO,82.63,broken clouds,2.0371,45.3438,Hotel Juba
210,Eyl,SO,81.39,broken clouds,7.9803,49.8164,Amiin Hotel
212,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
214,Virginia Beach,US,72.03,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
216,Masaurhi,IN,80.49,clear sky,25.3509,85.0342,ganesh tea shops
220,Mabaruma,GY,74.48,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
222,Barinas,VE,83.12,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
224,Nampula,MZ,70.09,overcast clouds,-15.1165,39.2666,Ruby Backpackers
226,Cabanas,CU,78.46,scattered clouds,22.9758,-82.9219,Villa Luis Montesino y Anabel
227,Bandarbeyla,SO,81.81,scattered clouds,9.4942,50.8122,JABIR HOTEL
229,Chapada Dos Guimaraes,BR,74.86,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
230,Butterworth,MY,82.44,scattered clouds,5.3991,100.3638,Cititel Penang
232,Adrar,MR,75.27,broken clouds,20.5022,-10.0711,
234,Luquillo,PR,79.02,broken clouds,18.3725,-65.7166,Yunque Mar Beach Hotel
236,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
237,Laje,BR,76.41,overcast clouds,-10.1833,-40.9667,NN Pousada
239,Damara,CF,73.42,overcast clouds,4.9608,18.7035,
240,Sinnamary,GF,75.51,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
242,Goiatuba,BR,70.38,broken clouds,-18.0125,-49.3547,Hotel Barrocos
247,Garowe,SO,77.76,few clouds,8.4054,48.4845,Curubo Hotel
248,Colombia,CU,76.39,overcast clouds,20.9881,-77.4297,Casa Lazara y Pupi
251,Ladario,BR,85.39,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
256,Najran,SA,72.59,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
259,Sao Felix Do Xingu,BR,73.69,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
261,Praia,CV,72.0,clear sky,14.9215,-23.5087,LT Aparthotel
267,Manthani,IN,86.4,overcast clouds,18.65,79.6667,"Sri Sai bike Paint,manthani"
