,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
131,Riviere-Au-Renard,48.9957,-64.3971,40.46,77,52,16.8,CA,broken clouds,2022-04-22 23:10:51
132,Andenes,69.3143,16.1194,37.38,81,100,3.44,NO,overcast clouds,2022-04-22 23:10:51
133,Buraydah,26.326,43.975,77.16,16,100,3.27,SA,overcast clouds,2022-04-22 23:10:52
134,Codrington,-38.2667,141.9667,54.21,71,4,6.64,AU,clear sky,2022-04-22 23:10:52
135,Clarence Town,-32.5833,151.7833,65.8,83,98,1.07,AU,overcast clouds,2022-04-22 23:10:52
136,Matagami,49.7502,-77.6328,27.93,76,12,7.07,CA,few clouds,2022-04-22 23:10:53
137,Springbok,-29.6643,17.8865,55.44,77,59,3.89,ZA,light rain,2022-04-22 23:10:53
138,Santa Rosa,14.3122,121.1114,84.02,70,13,10.42,PH,few clouds,2022-04-22 23:07:40
139,Artyom,40.4723,50.333,55.54,84,21,11.61,AZ,few clouds,2022-04-22 23:10:54
140,Paine,-33.8167,-70.75,72.84,53,54,4.79,CL,broken clouds,2022-04-22 23:10:54
141,Bonthe,7.5264,-12.505,80.37,83,99,5.88,SL,overcast clouds,2022-04-22 23:10:54
142,Puerto Ayacucho,5.6639,-67.6236,80.64,74,67,2.28,VE,broken clouds,2022-04-22 23:10:55
143,Wajid,3.8093,43.2471,76.87,75,70,14.5,SO,broken clouds,2022-04-22 23:10:55
144,Atbasar,51.8,68.3333,33.85,53,1,6.55,KZ,clear sky,2022-04-22 23:10:56
145,Wagar,16.1525,36.2032,86.81,42,17,14.97,SD,few clouds,2022-04-22 23:10:56
146,Volkhov,59.9258,32.3382,36.39,84,79,3.91,RU,broken clouds,2022-04-22 23:10:56
147,Puerto Suarez,-18.95,-57.8,86.41,47,84,3.24,BO,broken clouds,2022-04-22 23:10:57
148,Caravelas,-17.7125,-39.2481,74.5,80,14,5.97,BR,few clouds,2022-04-22 23:10:57
149,Sorland,67.667,12.6934,41.22,75,88,17.65,NO,overcast clouds,2022-04-22 23:10:58
150,Lucea,18.451,-78.1736,78.66,80,76,13.96,JM,broken clouds,2022-04-22 23:10:58
151,Samba,32.5667,75.1167,72.25,35,3,5.97,IN,clear sky,2022-04-22 23:10:58
152,Hualmay,-11.0964,-77.6139,67.75,86,75,7.4,PE,broken clouds,2022-04-22 23:10:59
153,Bubaque,11.2833,-15.8333,76.86,80,80,15.86,GW,broken clouds,2022-04-22 23:10:59
154,Aksu,41.1231,80.2644,62.55,50,90,2.82,CN,overcast clouds,2022-04-22 23:11:00
155,Baijiantan,45.6333,85.1833,57.74,47,96,6.62,CN,overcast clouds,2022-04-22 23:11:00
156,Tasiilaq,65.6145,-37.6368,32.16,92,100,4.34,GL,overcast clouds,2022-04-22 23:09:35
157,Pedasi,7.5333,-80.0333,81.5,73,87,9.69,PA,overcast clouds,2022-04-22 23:11:01
158,Orsk,51.2049,58.5668,42.85,56,97,12.41,RU,overcast clouds,2022-04-22 23:11:01
159,Peniche,39.3558,-9.3811,51.12,82,100,20.65,PT,light rain,2022-04-22 23:11:01
160,Conde,-7.2597,-34.9075,78.26,94,40,5.75,BR,scattered clouds,2022-04-22 23:11:02
161,Sao Filipe,14.8961,-24.4956,73.29,78,1,5.39,CV,clear sky,2022-04-22 23:10:37
162,Narsaq,60.9167,-46.05,44.82,92,100,3.76,GL,overcast clouds,2022-04-22 23:11:02
163,Kuzhener,56.8111,48.9128,29.37,94,18,4.74,RU,few clouds,2022-04-22 23:11:03
164,Rafai,4.95,23.9167,67.24,89,99,0.81,CF,overcast clouds,2022-04-22 23:11:03
165,Riohacha,11.5444,-72.9072,77.92,82,84,4.29,CO,broken clouds,2022-04-22 23:11:04
166,Livingston,55.9029,-3.5226,46.47,86,0,14.97,GB,clear sky,2022-04-22 23:11:04
167,Lagoa,39.05,-27.9833,57.27,67,100,15.26,PT,overcast clouds,2022-04-22 23:11:05
